intent,user_utterance,origin,new_intent,label
yes,agreed,original,book,1
greeting,hello there,original,greet,4
yes,good,parrot,book,1
thank_you,thankyou,parrot,bye,2
greeting,hey fellows,parrot,greet,4
schedule_meeting,can you schedule a meeting with matt for 3?,original,book,1
goodbye,great chat goodbye,lambada,bye,2
greeting,hello ai,parrot,greet,4
yes,indeed,original,book,1
goodbye,i want to see you,parrot,bye,2
goodbye,the pleasure was to talk to you,parrot,bye,2
date,what date is tomorrow,parrot,avail,0
thank_you,i'm thankful,original,bye,2
yes,yeah yeah,lambada,book,1
greeting,how's life?,parrot,greet,4
goodbye,goodbye later,parrot,bye,2
date,in 10 days?,parrot,avail,0
date,do you know what's the date?,parrot,avail,0
greeting,what's my feeling?,parrot,greet,4
thank_you,thanks!,original,bye,2
goodbye,great talk,lambada,bye,2
yes,that's a fact,lambada,book,1
no,that isn't true,lambada,cancel,3
meeting_schedule,meetings today,original,avail,0
no,no?,parrot,cancel,3
goodbye,goodbye,original,bye,2
no,thanks no,parrot,cancel,3
how_busy,is mexico crowded at night?,parrot,avail,0
no,certainly not,original,cancel,3
goodbye,goodnight,original,bye,2
how_busy,what's the crowd at the red lobster around 830?,parrot,avail,0
yes,i want to confirm it,parrot,book,1
greeting,aho,parrot,greet,4
goodbye,on the road,parrot,bye,2
greeting,hi,original,greet,4
yes,yay,lambada,book,1
goodbye,it was nice to talk with you,lambada,bye,2
goodbye,very nice conversation,parrot,bye,2
goodbye,sayonara,original,bye,2
how_busy,what's the table wait at applebees,original,avail,0
thank_you,"great, thanks!",original,bye,2
goodbye,goodbye to yours,parrot,bye,2
goodbye,tootles?,parrot,bye,2
yes,definitely,original,book,1
how_busy,how long will i have to wait at the immaculate steakhouse?,parrot,avail,0
goodbye,bye bye,lambada,bye,2
date,today?,parrot,avail,0
date,what's the day now??,parrot,avail,0
yes,yup,original,book,1
calendar,did i put a repair date on my calendar?,parrot,avail,0
date,what date today?,parrot,avail,0
how_busy,would i be able to get a seat at chilis between 11:00 am and 2:00 pm,lambada,avail,0
yes,ya,original,book,1
yes,yeah,original,book,1
greeting,what's going on,original,greet,4
greeting,hiya!,original,greet,4
thank_you,thanks,original,bye,2
date,what's my tomorrow date?,parrot,avail,0
reminder_update,please remember something,parrot,resched,5
date,in seven days?,parrot,avail,0
greeting,"hello, friend",original,greet,4
goodbye,the talk was nice,lambada,bye,2
no,not correct,parrot,cancel,3
greeting,how's the ayi doing?,parrot,greet,4
no,naw,parrot,cancel,3
greeting,hello good morning,parrot,greet,4
yes,absolutely,original,book,1
yes,10-Apr,original,book,1
no,nada,original,cancel,3
thank_you,very grateful,parrot,bye,2
yes,that is not false,original,book,1
no,false sure,parrot,cancel,3
greeting,hiya!,original,greet,4
goodbye,send a goodbye,lambada,bye,2
goodbye,adios,original,bye,2
yes,agreed,original,book,1
no,not good,parrot,cancel,3
greeting,hello,original,greet,4
calendar,show me the calendar?,parrot,avail,0
goodbye,good-bye,parrot,bye,2
date,what day is it today,parrot,avail,0
goodbye,just relax,parrot,bye,2
no,no!,original,cancel,3
yes,yay,lambada,book,1
yes,say positive,parrot,book,1
no,if i don't think it's true i'd say it's a false statement,parrot,cancel,3
goodbye,adios!,original,bye,2
goodbye,bye,original,bye,2
yes,it's positive,parrot,book,1
greeting,how does it go?,parrot,greet,4
thank_you,you're welcome,parrot,bye,2
goodbye,", goodbye",lambada,bye,2
thank_you,thankyou,parrot,bye,2
yes,"yes, that's right",original,book,1
goodbye,bye-bye,original,bye,2
goodbye,nice to see you,original,bye,2
goodbye,goodbye now,parrot,bye,2
goodbye,tootles,original,bye,2
yes,positive,parrot,book,1
greeting,hey there,original,greet,4
yes,it is true,original,book,1
meeting_schedule,when is my next meeting with kevin?,parrot,avail,0
yes,yep,original,book,1
reminder_update,remind me to pay my taxes,parrot,resched,5
yes,truthful is my answer,lambada,book,1
meeting_schedule,are there any meetings on my calendar?,lambada,avail,0
schedule_meeting,how can i book a meeting,lambada,book,1
meeting_schedule,is there a time for my meeting with marketing?,parrot,avail,0
yes,that makes sense,lambada,book,1
reminder_update,i would like to remind you to clean the bathroom in the morning,parrot,resched,5
yes,yup,original,book,1
goodbye,i'll be on the road,parrot,bye,2
yes,TRUE,original,book,1
greeting,hiya!,original,greet,4
date,which day in a month is the first day of a month in 5 days?,parrot,avail,0
how_busy,what's the wait time at the olive garden today?,parrot,avail,0
goodbye,you're done,parrot,bye,2
goodbye,this conversation was pleasant,parrot,bye,2
how_busy,is ziggy busy around dinner?,parrot,avail,0
goodbye,goodbye,original,bye,2
yes,that'd be great,parrot,book,1
yes,please let's do that,parrot,book,1
yes,confirmed,original,book,1
how_busy,what's the wait like at olive garden,lambada,avail,0
yes,positive,parrot,book,1
greeting,what's happening?,parrot,greet,4
greeting,what's happening?,parrot,greet,4
yes,uh huh,original,book,1
yes,sure,original,book,1
yes,absolutely!,original,book,1
no,invalid,original,cancel,3
no,absolutely not,original,cancel,3
greeting,hiya,original,greet,4
yes,"yup, that's true",original,book,1
cancel_reservation,delete my dinner reservation,parrot,cancel,3
yes,right,parrot,book,1
goodbye,wonderful conversation,lambada,bye,2
no,so it's not possible,parrot,cancel,3
how_busy,is tiaras usually crowded around 7pm?,lambada,avail,0
no,it's negative,parrot,cancel,3
greeting,hi how's the situation?,parrot,greet,4
no,not a good idea,parrot,cancel,3
schedule_meeting,can you arrange a meeting?,parrot,book,1
no,FALSE,original,cancel,3
goodbye,goodnight,original,bye,2
yes,huh,parrot,book,1
greeting,why hello?,original,greet,4
calendar_update,please delete a certain meeting,parrot,resched,5
date,where is the date tomorrow?,parrot,avail,0
thank_you,thank you ai,parrot,bye,2
date,what year is it tomorrow?,parrot,avail,0
meeting_schedule,when are my meetings?,parrot,avail,0
goodbye,a pleasure to speak with you as always,parrot,bye,2
date,what the day is?,parrot,avail,0
goodbye,later goodbye,parrot,bye,2
date,do you have my date?,parrot,avail,0
no,i think that's a lie,parrot,cancel,3
yes,approved,original,book,1
no,so that's no,parrot,cancel,3
no,nada,original,cancel,3
greeting,hey fellows,parrot,greet,4
goodbye,wonderful conversation,lambada,bye,2
yes,yeah yeah,lambada,book,1
no,the information is inaccurate,parrot,cancel,3
goodbye,buhbye now,lambada,bye,2
date,tell me the day of the month we are?,parrot,avail,0
yes,that checks out,original,book,1
how_busy,what's the seating time in the restaurant?,parrot,avail,0
thank_you,you made me aware,parrot,bye,2
no,i dont think it's right,parrot,cancel,3
greeting,"hey, what's new",original,greet,4
meeting_schedule,when do you meet roger?,parrot,avail,0
how_busy,how busy are orchids at 7?,parrot,avail,0
calendar_update,i want you to cancel the event on march 14,lambada,resched,5
thank_you,i'm grateful,original,bye,2
meeting_schedule,when is my meeting with dan scheduled for?,original,avail,0
no,hell nah,original,cancel,3
greeting,"hello, ai",original,greet,4
date,what day is that?,parrot,avail,0
thank_you,well done,parrot,bye,2
goodbye,bye-bye,original,bye,2
meeting_schedule,what is the meeting schedule?,lambada,avail,0
goodbye,say goodbye,parrot,bye,2
thank_you,you've tried,parrot,bye,2
yes,"yep, let's do that",lambada,book,1
yes,i think you're right,parrot,book,1
date,in 14 days?,parrot,avail,0
yes,that's absolutely true,parrot,book,1
yes,affirmitive,original,book,1
how_busy,how long will it take to eat at olive garden,lambada,avail,0
no,invalid,original,cancel,3
no,this statement is false,parrot,cancel,3
thank_you,thanks so much,original,bye,2
greeting,"hi, how are you today",original,greet,4
thank_you,thankyou,parrot,bye,2
no,negative certainly,parrot,cancel,3
thank_you,i'm thankful,original,bye,2
greeting,heyo,original,greet,4
how_busy,wait time at the fenway park is there a long wait?,parrot,avail,0
no,negatory,original,cancel,3
yes,TRUE,lambada,book,1
thank_you,it pleased me,parrot,bye,2
yes,it is true,original,book,1
no,but that's not true?,parrot,cancel,3
reminder_update,i want to set a reminder for my check,parrot,resched,5
no,thanks no,parrot,cancel,3
how_busy,can you tell me how busy olive garden is at noon?,parrot,avail,0
yes,all right,original,book,1
no,not true,original,cancel,3
greeting,welcome,parrot,greet,4
no,not right,parrot,cancel,3
yes,good yes,lambada,book,1
yes,yes,original,book,1
how_busy,how long will i have to wait at cheesecake factory,original,avail,0
schedule_meeting,i want to meet in blue room on friday,parrot,book,1
thank_you,you answered,parrot,bye,2
yes,yay,lambada,book,1
date,what is the month of the year?,lambada,avail,0
how_busy,how busy is igor at 8 o'clock?,parrot,avail,0
cancel_reservation,please cancel my reservation for the steakhouse,lambada,cancel,3
how_busy,is mcdonalds busy?,parrot,avail,0
date,what day is today,parrot,avail,0
schedule_meeting,is there a room available between 11am and 12pm?,parrot,book,1
goodbye,i’m leaving-goodbye!,original,bye,2
goodbye,fairwell?,parrot,bye,2
goodbye,bye,original,bye,2
yes,my answer is yes,parrot,book,1
reminder_update,i need to remember you,parrot,resched,5
cancel_reservation,i booked chris at tony's please cancel it,parrot,cancel,3
yes,confirmed,original,book,1
greeting,i'd like to know how you're doing,parrot,greet,4
reminder_update,make a new reminder to study for my final exams,parrot,resched,5
yes,yeah yeah,lambada,book,1
yes,yep,original,book,1
thank_you,"good job, thanks",lambada,bye,2
how_busy,does applebee have a busy wait time at 5?,parrot,avail,0
yes,10-Apr,original,book,1
goodbye,goodbye goodbye,parrot,bye,2
calendar_update,i would like you to cancel the event on march 18,lambada,resched,5
no,it's false,parrot,cancel,3
reminder_update,put a reminder for lunch at 10 am,parrot,resched,5
no,not really,original,cancel,3
meeting_schedule,have to find time to do all the meetings on my schedule,parrot,avail,0
date,what is tomorrow?,parrot,avail,0
yes,yup,original,book,1
goodbye,afterward,parrot,bye,2
how_busy,how long do i have to wait in the pizza factory?,parrot,avail,0
yes,right,parrot,book,1
greeting,what's new?,parrot,greet,4
no,nothing good,parrot,cancel,3
greeting,aloha,original,greet,4
greeting,heyo,original,greet,4
reminder_update,put the steaks on the grill remind me to check them at the right time,parrot,resched,5
date,what day of the month will it be in 5 days?,parrot,avail,0
greeting,hey yai,lambada,greet,4
yes,obviously,parrot,book,1
goodbye,adios,original,bye,2
schedule_meeting,please reserve me a meeting room on thursday at 12:00 pm,lambada,book,1
greeting,wassup,original,greet,4
yes,"affirmative, go ahead",original,book,1
no,negative definitely,parrot,cancel,3
thank_you,thank you for everything,parrot,bye,2
how_busy,do you think the longhorn steakhouse will be busy at 5 o'clock?,parrot,avail,0
no,invalid,original,cancel,3
how_busy,does kimura steakhouse have a lot of customers around 6:30?,lambada,avail,0
date,what year is tomorrow?,parrot,avail,0
no,that's absolutely false,parrot,cancel,3
how_busy,check how busy the cheesecake factory is,parrot,avail,0
goodbye,goodbye later,parrot,bye,2
yes,i'm going to tell you tes,parrot,book,1
thank_you,okay thank you,parrot,bye,2
greeting,hi what's up?,parrot,greet,4
greeting,is everything going okay?,original,greet,4
greeting,you're all right?,parrot,greet,4
how_busy,waiting at cheeseburgers?,parrot,avail,0
no,not true,original,cancel,3
thank_you,thank you!,original,bye,2
yes,yeah yeah,lambada,book,1
yes,uh-huh,original,book,1
goodbye,"syonara, ai device!",original,bye,2
goodbye,later!,original,bye,2
date,is today a date?,parrot,avail,0
yes,say positive,parrot,book,1
greeting,bonjour,original,greet,4
goodbye,a pleasure to speak with you as always,parrot,bye,2
yes,correct,original,book,1
yes,good yes,lambada,book,1
goodbye,i'll leave now,parrot,bye,2
yes,that would be great,original,book,1
no,negative,original,cancel,3
greeting,whats up,original,greet,4
greeting,how did you feel?,parrot,greet,4
no,you're not right,parrot,cancel,3
schedule_meeting,it needs a schedule and i need to know how,parrot,book,1
no,naw,original,cancel,3
greeting,how is life?,parrot,greet,4
thank_you,awesome thanks,parrot,bye,2
no,nothing,parrot,cancel,3
goodbye,fairwell,original,bye,2
thank_you,thankyou,parrot,bye,2
no,please disagree,lambada,cancel,3
greeting,heller,original,greet,4
greeting,how's everything?,parrot,greet,4
thank_you,thanks!,original,bye,2
thank_you,i would like to thank you,original,bye,2
no,no thank you,original,cancel,3
goodbye,tootles?,parrot,bye,2
no,negating,parrot,cancel,3
goodbye,ai goodbye,original,bye,2
no,that would be incorrect,lambada,cancel,3
thank_you,thanks for helping,original,bye,2
cancel_reservation,get rid of my reservation at 4pm please,parrot,cancel,3
greeting,aloha,original,greet,4
reminder_update,let me know,parrot,resched,5
how_busy,how long would the wait in the restaurant be?,parrot,avail,0
greeting,"hello, hello, hello",lambada,greet,4
yes,yes,original,book,1
no,i must say no,original,cancel,3
thank_you,you've given me it,parrot,bye,2
date,date tomorrow,parrot,avail,0
greeting,aloha,original,greet,4
yes,"yes, please",parrot,book,1
how_busy,how long will the wait be at noon if we go to nagomi?,parrot,avail,0
thank_you,I owe you one,parrot,bye,2
no,that's not the truth,parrot,cancel,3
how_busy,how long will it take to get seated at the kitchen sink,lambada,avail,0
goodbye,adios!,original,bye,2
calendar_update,add my next doctor visit to my calendar,original,resched,5
goodbye,the hell i'm out,parrot,bye,2
date,is tomorrow's date?,parrot,avail,0
meeting_schedule,what are my meetings today?,original,avail,0
no,that's false,original,cancel,3
yes,accepted,original,book,1
yes,positive,parrot,book,1
no,no way,original,cancel,3
goodbye,goodbye!,original,bye,2
goodbye,peace,original,bye,2
no,erroneous,parrot,cancel,3
reminder_update,come on please,parrot,resched,5
yes,"yes, that is accurate",original,book,1
greeting,hey,original,greet,4
goodbye,farewell,original,bye,2
goodbye,see ya,original,bye,2
greeting,good day,original,greet,4
thank_you,okay thanks,original,bye,2
goodbye,fairwell,original,bye,2
thank_you,thank you for that,lambada,bye,2
thank_you,glad you helped me,parrot,bye,2
no,no thanks,original,cancel,3
calendar,if there's a march schedule for me let me know,parrot,avail,0
yes,it is a yes from me,parrot,book,1
how_busy,how long does the restaurant sit?,parrot,avail,0
reminder_update,please remind me later,original,resched,5
date,would you let me know today's date,original,avail,0
yes,accepted,original,book,1
greeting,whats up?,parrot,greet,4
yes,ok,original,book,1
cancel_reservation,the reservation for 20 at ihop is no longer necessary,parrot,cancel,3
meeting_schedule,what is my schedule today?,parrot,avail,0
goodbye,nice talking to you,parrot,bye,2
meeting_schedule,when is my meeting?,parrot,avail,0
thank_you,very grateful,parrot,bye,2
greeting,heyo,original,greet,4
schedule_meeting,are there meeting rooms available between 9 and 11?,parrot,book,1
yes,yep,original,book,1
no,no,lambada,cancel,3
date,what's the year?,parrot,avail,0
yes,"yes, please",parrot,book,1
goodbye,bye for now,original,bye,2
greeting,how life treats you?,parrot,greet,4
goodbye,buhbye,original,bye,2
yes,yes,original,book,1
how_busy,how long will i need to wait to get a table at angels wing,lambada,avail,0
greeting,hey how's it hanging,original,greet,4
goodbye,a pleasure to speak with you as always,parrot,bye,2
yes,yeah,original,book,1
greeting,hey yai,lambada,greet,4
no,naw,original,cancel,3
yes,definitely,original,book,1
date,in 7 days?,parrot,avail,0
no,don't like that,parrot,cancel,3
cancel_reservation,cancel dinner reservation tonight,parrot,cancel,3
cancel_reservation,my reservation for dinner was cancelled,parrot,cancel,3
goodbye,good bye,original,bye,2
yes,absolutely!,original,book,1
yes,oh-huh,parrot,book,1
meeting_schedule,give a summary of today's meetings?,parrot,avail,0
no,not necessarily true,parrot,cancel,3
no,i don't think it's appropriate,parrot,cancel,3
no,it's absolutely false,parrot,cancel,3
yes,definitely,original,book,1
greeting,how is my current situation,lambada,greet,4
no,that's so negative,parrot,cancel,3
yes,positive,parrot,book,1
yes,"yes, please",parrot,book,1
no,negation,parrot,cancel,3
goodbye,good-bye,parrot,bye,2
goodbye,goodbye for now ai,original,bye,2
calendar,what do i have on my calendar for february 8?,original,avail,0
thank_you,gracias,original,bye,2
no,it's no,parrot,cancel,3
no,ill pass,original,cancel,3
greeting,hello there,original,greet,4
meeting_schedule,when's the meeting with kara,parrot,avail,0
goodbye,great conversation,parrot,bye,2
thank_you,thanks for my assistance,parrot,bye,2
no,that's so wrong,parrot,cancel,3
meeting_schedule,please tell me my scheduled meetings for today only?,parrot,avail,0
goodbye,glad we've got to talk,parrot,bye,2
greeting,hey how are you feeling?,parrot,greet,4
greeting,hiya!,original,greet,4
goodbye,the talk was nice,lambada,bye,2
greeting,"why, hello bandit",original,greet,4
thank_you,appreciated,original,bye,2
how_busy,wait how long?,parrot,avail,0
thank_you,i appreciate your assistance,parrot,bye,2
goodbye,i'll be out of here,lambada,bye,2
yes,correct,original,book,1
goodbye,goodbye,original,bye,2
meeting_schedule,do i have any meetings today between 4 and 5?,original,avail,0
meeting_schedule,"for today only, what meetings are on my calendar",lambada,avail,0
reminder_update,remind me,original,resched,5
yes,positive,parrot,book,1
how_busy,how long will the wait at chili's be around 5pm,parrot,avail,0
no,it's no,parrot,cancel,3
greeting,hey there!,original,greet,4
goodbye,goodbye to you,original,bye,2
yes,"yes, that's true",lambada,book,1
no,negatory,original,cancel,3
calendar,let me know what my calendar shows for march 28th?,parrot,avail,0
goodbye,later gater,original,bye,2
goodbye,goodbye goodbye,parrot,bye,2
yes,affirmitive,original,book,1
goodbye,have to go,parrot,bye,2
goodbye,"thanks for chatting, bye",lambada,bye,2
yes,you are yes,lambada,book,1
greeting,welcome,parrot,greet,4
no,FALSE,lambada,cancel,3
calendar_update,remove the date of the birthday party from my calendar,lambada,resched,5
yes,TRUE,lambada,book,1
reminder_update,let me remember,parrot,resched,5
reminder_update,let me remember,parrot,resched,5
how_busy,the wait time for a table in the olive garden will be 12,parrot,avail,0
thank_you,thanks!,original,bye,2
no,no?,parrot,cancel,3
goodbye,this conversation was wonderful,parrot,bye,2
yes,uh-huh,original,book,1
yes,say positive,parrot,book,1
yes,yeah yeah,lambada,book,1
greeting,how's ai feeling?,parrot,greet,4
goodbye,tootles?,parrot,bye,2
greeting,well hi there,original,greet,4
yes,positive,original,book,1
greeting,how's ai doing?,parrot,greet,4
yes,accepted,original,book,1
no,that's wrong,original,cancel,3
no,but not right now,parrot,cancel,3
how_busy,what is the current waittime at cheerios?,lambada,avail,0
goodbye,glad we talked,parrot,bye,2
no,nay,original,cancel,3
greeting,all right now?,parrot,greet,4
calendar,show me something in my calendar for a scheduled service appointment?,parrot,avail,0
goodbye,later gator!,original,bye,2
calendar,could you let me know if i have any events on my calendar for saturday,lambada,avail,0
goodbye,peace,original,bye,2
goodbye,bye!,original,bye,2
goodbye,have fun?,lambada,bye,2
meeting_schedule,do i meet with joan today?,original,avail,0
calendar,list the appointments on my calendar for march 10th?,parrot,avail,0
goodbye,"thanks, bye",original,bye,2
how_busy,how many people are at chili's around 9 pm,lambada,avail,0
goodbye,tootles?,parrot,bye,2
yes,positive,original,book,1
date,please share today's date,original,avail,0
date,what date is tomorrow?,original,avail,0
greeting,hiya,original,greet,4
goodbye,i enjoy our conversation,parrot,bye,2
meeting_schedule,what time is my meeting scheduled?,parrot,avail,0
meeting_schedule,do i have any meetings with kim today?,lambada,avail,0
date,what year?,parrot,avail,0
greeting,salutation,parrot,greet,4
thank_you,thanks again,original,bye,2
date,what year is this?,parrot,avail,0
greeting,hola!,original,greet,4
no,that's no,parrot,cancel,3
greeting,how's everything?,parrot,greet,4
yes,all right,parrot,book,1
yes,definitely,original,book,1
yes,agreed,original,book,1
thank_you,thanks again!,original,bye,2
yes,that is true,lambada,book,1
yes,okay,original,book,1
thank_you,thanks for responding,parrot,bye,2
goodbye,bye!,original,bye,2
thank_you,merci beaucoup,original,bye,2
yes,10-Apr,original,book,1
goodbye,have a good one?,original,bye,2
yes,definitely,original,book,1
calendar,tell me my calendar?,parrot,avail,0
yes,accepted,original,book,1
calendar,what's tuesday's calendar?,parrot,avail,0
date,i have to know the date tomorrow,parrot,avail,0
meeting_schedule,meeting today,parrot,avail,0
date,today?,parrot,avail,0
greeting,have you been good?,original,greet,4
how_busy,what's the wait time at the chipotle steak house?,parrot,avail,0
goodbye,i'll leave,parrot,bye,2
goodbye,sayonara,original,bye,2
greeting,hiya,original,greet,4
greeting,hiya,original,greet,4
greeting,how's idy?,parrot,greet,4
yes,great,original,book,1
calendar_update,cancel the event on 23 february,parrot,resched,5
goodbye,fairwell?,parrot,bye,2
goodbye,goodbye now,parrot,bye,2
no,not happening,original,cancel,3
goodbye,enjoy my day goodbye,parrot,bye,2
no,invalid,original,cancel,3
yes,accepted,original,book,1
no,FALSE,original,cancel,3
yes,facts,original,book,1
goodbye,peace out!,original,bye,2
thank_you,good job helping me,parrot,bye,2
meeting_schedule,are we scheduled to meet today between 7 and 9?,parrot,avail,0
goodbye,cya later,original,bye,2
yes,"yup, that's true",original,book,1
yes,thats right,original,book,1
greeting,hey,original,greet,4
yes,approved,original,book,1
yes,sure thing,original,book,1
calendar_update,eliminate all calendar entries on april 13,parrot,resched,5
goodbye,talk later,original,bye,2
thank_you,my thanks,parrot,bye,2
goodbye,bye,original,bye,2
greeting,"hello, friend",original,greet,4
thank_you,thank you!,original,bye,2
yes,you're right,original,book,1
meeting_schedule,meetings today,original,avail,0
date,answer the question 'what's the date today,parrot,avail,0
yes,not a lie,parrot,book,1
goodbye,talk to me soon,parrot,bye,2
how_busy,can you tell me if mr joe's steakhouse is busy at 5?,parrot,avail,0
goodbye,bye,original,bye,2
goodbye,i'm out,parrot,bye,2
thank_you,good job,lambada,bye,2
no,that's so negative,parrot,cancel,3
thank_you,thanks for helping me,original,bye,2
goodbye,i enjoyed our goodbye talk,parrot,bye,2
goodbye,afterward,parrot,bye,2
greeting,"hello, friend",original,greet,4
greeting,aloha,original,greet,4
how_busy,how busy is imanas?,parrot,avail,0
greeting,salutations!,original,greet,4
yes,sure thing,original,book,1
thank_you,okay thank you,parrot,bye,2
no,negation,parrot,cancel,3
thank_you,my sincere gratitude,parrot,bye,2
greeting,how the car is doing?,parrot,greet,4
yes,right,parrot,book,1
no,no!,original,cancel,3
goodbye,a pleasure to speak with you as always,parrot,bye,2
yes,that's true,original,book,1
schedule_meeting,i need help with setting a meeting,parrot,book,1
yes,"yes, please",parrot,book,1
no,but certainly not,parrot,cancel,3
goodbye,"later, good luck",lambada,bye,2
thank_you,thanks for my reply,parrot,bye,2
yes,is true,parrot,book,1
goodbye,fairwell?,parrot,bye,2
no,not correct,parrot,cancel,3
thank_you,a million thanks,parrot,bye,2
calendar,do i have any appointments on my calendar march 22nd?,original,avail,0
reminder_update,reminder to pay my taxes on saturday,parrot,resched,5
greeting,hi how's it going?,parrot,greet,4
yes,oh yes,original,book,1
no,nay,original,cancel,3
greeting,show me what's new,parrot,greet,4
yes,perfect,parrot,book,1
thank_you,you're welcome,parrot,bye,2
thank_you,i'm grateful,original,bye,2
goodbye,goodbye now,parrot,bye,2
greeting,whats up?,parrot,greet,4
yes,yup,original,book,1
no,nothing good,parrot,cancel,3
yes,i know it's true,parrot,book,1
greeting,ahoy there,lambada,greet,4
greeting,hey,original,greet,4
calendar_update,make sure june 1 is cleared on my calendar,lambada,resched,5
goodbye,peace out!,original,bye,2
yes,i just said it,parrot,book,1
no,that's totally false,parrot,cancel,3
no,naw,parrot,cancel,3
goodbye,good bye then,original,bye,2
goodbye,fairwell,original,bye,2
calendar,can you tell me what's on my calendar for march 31?,parrot,avail,0
greeting,please tell me how you're feeling?,parrot,greet,4
no,"nope, that's false",original,cancel,3
greeting,hey bs,lambada,greet,4
how_busy,how long will i need to wait to get a table at ehi's,lambada,avail,0
thank_you,thanks very much for your answer,parrot,bye,2
no,no?,parrot,cancel,3
cancel_reservation,this is not required anymore,parrot,cancel,3
greeting,hello there!,original,greet,4
goodbye,bye-bye,original,bye,2
how_busy,how busy is mishawaka?,parrot,avail,0
calendar_update,i need to put down that i have an appointment for tomorrow on my calendar,lambada,resched,5
no,it's overwhelmingly negative,parrot,cancel,3
no,that isn't what we want,lambada,cancel,3
meeting_schedule,when's my meeting?,parrot,avail,0
calendar,can you show me my schedule?,parrot,avail,0
goodbye,no problem goodbye,parrot,bye,2
greeting,hiya!,original,greet,4
yes,"yes, that's correct",original,book,1
no,it's not necessarily true,parrot,cancel,3
greeting,how goes it,original,greet,4
thank_you,thanks for that!,original,bye,2
greeting,hello good morning,parrot,greet,4
yes,confirm,original,book,1
no,erroneous,parrot,cancel,3
yes,yay,lambada,book,1
greeting,hey how are you,lambada,greet,4
no,negatory,original,cancel,3
no,it's a mistake,parrot,cancel,3
goodbye,fairwell?,parrot,bye,2
thank_you,thanks for trying,original,bye,2
no,no!,original,cancel,3
how_busy,how many people go to chili's around 9pm,original,avail,0
calendar,please see my calendar,parrot,avail,0
greeting,yo,original,greet,4
cancel_reservation,i need to cancel my reservation for sam at umami,lambada,cancel,3
no,it's a very bad answer,parrot,cancel,3
date,date please,original,avail,0
no,no that's not true,parrot,cancel,3
no,i mean no,parrot,cancel,3
how_busy,how long is the wait at chili?,parrot,avail,0
no,but no way?,parrot,cancel,3
greeting,ahoy,lambada,greet,4
greeting,whats up?,parrot,greet,4
greeting,how's my family doing?,parrot,greet,4
yes,correct,original,book,1
calendar,what is the tuesday calendar?,parrot,avail,0
greeting,is everything going okay?,original,greet,4
meeting_schedule,share my schedule with me,parrot,avail,0
no,no good,original,cancel,3
thank_you,thanks for answering,parrot,bye,2
reminder_update,reminder of the gas bill,parrot,resched,5
calendar,what's on the calendar for march 4th,original,avail,0
no,negating,parrot,cancel,3
no,no that is not correct,lambada,cancel,3
goodbye,peace,original,bye,2
no,false sure,parrot,cancel,3
no,erroneous,parrot,cancel,3
yes,uh-huh,original,book,1
greeting,hola!,original,greet,4
goodbye,goodbye,original,bye,2
no,erroneous,parrot,cancel,3
date,please explain today,parrot,avail,0
how_busy,how busy is olive garden around dinner,lambada,avail,0
yes,accept,parrot,book,1
thank_you,you answered,parrot,bye,2
yes,i'm going to tell you tes,parrot,book,1
calendar_update,show the best ways to remove an appointment?,parrot,resched,5
meeting_schedule,check out what meetings i've scheduled,parrot,avail,0
greeting,hello what's up?,parrot,greet,4
thank_you,thanks again,original,bye,2
no,that is no,lambada,cancel,3
thank_you,thanks again!,original,bye,2
greeting,hola!,original,greet,4
yes,"yes, that is factual",original,book,1
greeting,hello there,original,greet,4
goodbye,fairwell?,parrot,bye,2
no,negation,parrot,cancel,3
thank_you,thank you for helping,parrot,bye,2
thank_you,you answered,parrot,bye,2
greeting,hi,original,greet,4
no,FALSE,lambada,cancel,3
thank_you,my gratitude,parrot,bye,2
yes,perfect,parrot,book,1
yes,"yes, please",parrot,book,1
date,today?,parrot,avail,0
calendar,please check my calendar for march 17,parrot,avail,0
yes,agreed,original,book,1
no,no?,parrot,cancel,3
goodbye,bye,original,bye,2
no,negatory,original,cancel,3
no,not happening,original,cancel,3
date,date tomorrow,parrot,avail,0
no,no way,original,cancel,3
no,no it's not right,parrot,cancel,3
greeting,hello how's it going?,parrot,greet,4
meeting_schedule,what meetings do i have planned for today?,lambada,avail,0
goodbye,lovely conversation,parrot,bye,2
yes,i can confirm,parrot,book,1
no,no good,original,cancel,3
greeting,nice day,lambada,greet,4
yes,i guess,parrot,book,1
goodbye,later thanks for talking,parrot,bye,2
goodbye,glad we talked,parrot,bye,2
reminder_update,"new reminder, please",original,resched,5
how_busy,how busy is chili's around noon,lambada,avail,0
yes,sure thing,original,book,1
no,FALSE,lambada,cancel,3
greeting,hola!,original,greet,4
yes,good,parrot,book,1
no,that's absolutely false,parrot,cancel,3
meeting_schedule,when is homer's meeting?,parrot,avail,0
yes,oh-huh,parrot,book,1
yes,"yes, please",original,book,1
greeting,how's that hanging?,parrot,greet,4
no,nay,original,cancel,3
thank_you,you helped me out,parrot,bye,2
yes,10-Apr,original,book,1
goodbye,farewell,original,bye,2
how_busy,tell me how busy miami marriott will be at 5 pm,parrot,avail,0
no,nada,original,cancel,3
date,today?,parrot,avail,0
goodbye,a good conversation,parrot,bye,2
yes,certainly true,parrot,book,1
reminder_update,keep me in mind,parrot,resched,5
thank_you,thanks for that,original,bye,2
greeting,hey fellow,parrot,greet,4
how_busy,will the restaurant fill up,parrot,avail,0
date,today?,parrot,avail,0
